Grid mode: 250 periods in [0.1, 200] yr, 5 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.3, Best Cost Accept Factor = 1.5
  [57/250] P =    45.06 yr, a" = 7.628  e = 0.649, M = 4.020 Msun  cost = 0.00014509896862173647
  [58/250] P =    45.86 yr, a" = 7.590  e = 0.639, M = 3.822 Msun  cost = 0.00013806966542249894
  [59/250] P =    46.66 yr, a" = 7.559  e = 0.628, M = 3.646 Msun  cost = 0.00013236679368860982
  [60/250] P =    47.47 yr, a" = 7.534  e = 0.619, M = 3.490 Msun  cost = 0.00012787083553403457
  [61/250] P =    48.27 yr, a" = 7.516  e = 0.610, M = 3.350 Msun  cost = 0.00012447383158585614
  [62/250] P =    49.07 yr, a" = 7.503  e = 0.601, M = 3.224 Msun  cost = 0.00012207811876983985
  [63/250] P =    49.87 yr, a" = 7.494  e = 0.593, M = 3.111 Msun  cost = 0.00012059522327019279
  [64/250] P =    50.68 yr, a" = 7.490  e = 0.585, M = 3.008 Msun  cost = 0.0001199448874460118
  [65/250] P =    51.48 yr, a" = 7.490  e = 0.577, M = 2.914 Msun  cost = 0.00012005421259877914
  [66/250] P =    52.28 yr, a" = 7.493  e = 0.571, M = 2.829 Msun  cost = 0.00012085690247342705
  [67/250] P =    53.09 yr, a" = 7.499  e = 0.564, M = 2.751 Msun  cost = 0.00012229259386156537
  [68/250] P =    53.89 yr, a" = 7.508  e = 0.558, M = 2.680 Msun  cost = 0.0001243062636695511
  [69/250] P =    54.69 yr, a" = 7.520  e = 0.552, M = 2.614 Msun  cost = 0.0001268477022200768
  [70/250] P =    55.49 yr, a" = 7.535  e = 0.546, M = 2.554 Msun  cost = 0.0001298710450031604
  [71/250] P =    56.30 yr, a" = 7.552  e = 0.541, M = 2.498 Msun  cost = 0.00013333435538466005
  [72/250] P =    57.10 yr, a" = 7.571  e = 0.536, M = 2.447 Msun  cost = 0.0001371992522163314
  [73/250] P =    57.90 yr, a" = 7.592  e = 0.531, M = 2.399 Msun  cost = 0.000141430576917915
  [74/250] P =    58.71 yr, a" = 7.615  e = 0.527, M = 2.355 Msun  cost = 0.0001459960954282537
