THETA,RHO,YEAR,PARALLAX
190,3.7,1997,378.9
95,8.4,2009
92,8.9,2010
88,9.3,2011
83,9.6,2013
80,10.7,2015
76,10.9,2016
67,11.2,2020
67,11.3,2021
65,11.3,2022
59,11.1,2024
