Grid mode: 1000 periods in [0.1, 200] yr, 10 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.1, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: 2.17 MSol, Secondary Star (m2) Mass Guess: 1.0 MSol
  [56/1000] P =    11.11 yr, a = 15.659"  e = 0.999, M = 572.358 Msun  cost = 138.59601745145176
  [57/1000] P =    11.31 yr, a = 16.253"  e = 0.999, M = 617.498 Msun  cost = 141.24688843291327
  [58/1000] P =    11.51 yr, a = 29.449"  e = 0.999, M = 3546.756 Msun  cost = 148.89889638036783
  [59/1000] P =    11.71 yr, a = 6.884"  e = 0.999, M = 43.762 Msun  cost = 145.56274852278415
  [60/1000] P =    11.91 yr, a = 4.847"  e = 0.999, M = 14.769 Msun  cost = 146.99023555632746
  [61/1000] P =    12.11 yr, a = 9.590"  e = 0.999, M = 110.648 Msun  cost = 148.79757173035568
  [62/1000] P =    12.31 yr, a = 19.863"  e = 0.999, M = 951.303 Msun  cost = 156.47847803782847
  [63/1000] P =    12.51 yr, a = 9.573"  e = 0.999, M = 103.117 Msun  cost = 155.0418317183033
  [64/1000] P =    12.71 yr, a = 4.926"  e = 0.999, M = 13.614 Msun  cost = 155.62814073666905
  [65/1000] P =    12.91 yr, a = 8.013"  e = 0.999, M = 56.790 Msun  cost = 156.52503989523166
  [66/1000] P =    13.11 yr, a = 9.728"  e = 0.999, M = 98.514 Msun  cost = 158.54192811320993
  [67/1000] P =    13.31 yr, a = 4.894"  e = 0.999, M = 12.173 Msun  cost = 162.07766240573937
  [68/1000] P =    13.51 yr, a = 5.006"  e = 0.999, M = 12.641 Msun  cost = 164.33023734440923
  [69/1000] P =    13.71 yr, a = 10.658"  e = 0.999, M = 118.450 Msun  cost = 174.97645923199497
  [70/1000] P =    13.91 yr, a = 9.701"  e = 0.999, M = 86.769 Msun  cost = 165.24584641338708
  [71/1000] P =    14.11 yr, a = 11.428"  e = 0.999, M = 137.880 Msun  cost = 167.16568754427627
  [72/1000] P =    14.31 yr, a = 9.910"  e = 0.999, M = 87.413 Msun  cost = 168.1826354388693
  [73/1000] P =    14.51 yr, a = 12.213"  e = 0.999, M = 159.124 Msun  cost = 165.36459447716126
  [74/1000] P =    14.71 yr, a = 8.921"  e = 0.999, M = 60.346 Msun  cost = 160.96027954921578
  [75/1000] P =    14.91 yr, a = 9.511"  e = 0.999, M = 71.175 Msun  cost = 156.96683200090757
  [76/1000] P =    15.11 yr, a = 10.591"  e = 0.999, M = 95.698 Msun  cost = 153.2950779170187
  [77/1000] P =    15.31 yr, a = 13.377"  e = 0.999, M = 187.779 Msun  cost = 150.98996764343332
  [78/1000] P =    15.51 yr, a = 12.463"  e = 0.999, M = 147.983 Msun  cost = 146.03850735405743
  [79/1000] P =    15.71 yr, a = 4.934"  e = 0.998, M = 8.949 Msun  cost = 141.9558293023641
  [80/1000] P =    15.91 yr, a = 10.944"  e = 0.999, M = 95.219 Msun  cost = 137.60997937611214
  [81/1000] P =    16.11 yr, a = 10.532"  e = 0.999, M = 82.776 Msun  cost = 133.99648830779287
  [82/1000] P =    16.31 yr, a = 23.529"  e = 0.999, M = 900.420 Msun  cost = 130.41231170487364
  [83/1000] P =    16.51 yr, a = 23.292"  e = 0.999, M = 852.431 Msun  cost = 125.62999418462307
  [84/1000] P =    16.71 yr, a = 22.949"  e = 0.999, M = 795.872 Msun  cost = 121.38551503099244
  [85/1000] P =    16.91 yr, a = 4.960"  e = 0.999, M = 7.848 Msun  cost = 123.0341779903304
  [86/1000] P =    17.11 yr, a = 4.962"  e = 0.999, M = 7.672 Msun  cost = 120.87448688452655
  [87/1000] P =    17.31 yr, a = 41.900"  e = 0.999, M = 4513.792 Msun  cost = 107.87817522591864
  [88/1000] P =    17.51 yr, a = 20.085"  e = 0.999, M = 485.857 Msun  cost = 108.57381395321153
  [89/1000] P =    17.71 yr, a = 19.153"  e = 0.999, M = 411.859 Msun  cost = 106.16191786423504
  [90/1000] P =    17.91 yr, a = 5.181"  e = 0.981, M = 7.969 Msun  cost = 102.68604916902429
  [91/1000] P =    18.11 yr, a = 45.943"  e = 0.999, M = 5436.330 Msun  cost = 91.94610791360113
  [92/1000] P =    18.31 yr, a = 68.962"  e = 0.999, M = 17985.260 Msun  cost = 81.25769159781646
  [93/1000] P =    18.51 yr, a = 81.173"  e = 0.999, M = 28700.440 Msun  cost = 74.30145913274148
  [94/1000] P =    18.71 yr, a = 81.650"  e = 0.999, M = 28588.180 Msun  cost = 67.78316161765649
  [95/1000] P =    18.91 yr, a = 83.622"  e = 0.999, M = 30063.396 Msun  cost = 62.0693688768153
  [96/1000] P =    19.11 yr, a = 87.845"  e = 0.999, M = 34125.421 Msun  cost = 56.669786678083916
  [97/1000] P =    19.31 yr, a = 100.000"  e = 0.999, M = 49303.610 Msun  cost = 46.7487667414316
  [98/1000] P =    19.51 yr, a = 100.000"  e = 0.999, M = 48297.438 Msun  cost = 39.35869925299202
  [99/1000] P =    19.71 yr, a = 100.000"  e = 0.999, M = 47321.752 Msun  cost = 34.137910572002966
  [100/1000] P =    19.91 yr, a = 99.998"  e = 0.999, M = 46372.094 Msun  cost = 30.075149076018683
  [101/1000] P =    20.11 yr, a = 100.000"  e = 0.999, M = 45456.618 Msun  cost = 26.73806406925959
  [102/1000] P =    20.31 yr, a = 99.878"  e = 0.999, M = 44402.404 Msun  cost = 23.908870260224564
  [103/1000] P =    20.51 yr, a = 97.384"  e = 0.999, M = 40359.839 Msun  cost = 21.468797491288942
  [104/1000] P =    20.71 yr, a = 98.984"  e = 0.999, M = 41566.308 Msun  cost = 19.32287124812528
  [105/1000] P =    20.91 yr, a = 99.821"  e = 0.999, M = 41818.032 Msun  cost = 17.429560409739548
  [106/1000] P =    21.11 yr, a = 99.346"  e = 0.999, M = 40446.468 Msun  cost = 15.749357299937499
  [107/1000] P =    21.31 yr, a = 99.899"  e = 0.999, M = 40357.500 Msun  cost = 14.24695246261533
  [108/1000] P =    21.51 yr, a = 99.687"  e = 0.999, M = 39357.503 Msun  cost = 12.901232038010383
  [109/1000] P =    21.71 yr, a = 99.717"  e = 0.999, M = 38670.927 Msun  cost = 11.690582156485156
  [110/1000] P =    21.91 yr, a = 99.931"  e = 0.999, M = 38212.643 Msun  cost = 10.598710389965285
  [111/1000] P =    22.11 yr, a = 99.692"  e = 0.999, M = 37255.932 Msun  cost = 9.612626599383338
  [112/1000] P =    22.31 yr, a = 99.998"  e = 0.999, M = 36927.804 Msun  cost = 8.71925761297595
  [113/1000] P =    22.51 yr, a = 99.984"  e = 0.999, M = 36259.565 Msun  cost = 7.909570327887119
  [114/1000] P =    22.71 yr, a = 100.000"  e = 0.999, M = 35640.327 Msun  cost = 7.1743822556331756
  [115/1000] P =    22.91 yr, a = 99.833"  e = 0.999, M = 34845.197 Msun  cost = 6.506280715172471
  [116/1000] P =    23.11 yr, a = 99.891"  e = 0.999, M = 34304.697 Msun  cost = 5.898193783006128
  [117/1000] P =    23.31 yr, a = 99.998"  e = 0.999, M = 33826.014 Msun  cost = 5.344438816958763
  [118/1000] P =    23.51 yr, a = 99.875"  e = 0.999, M = 33130.188 Msun  cost = 4.84004827218597
  [119/1000] P =    23.71 yr, a = 99.842"  e = 0.999, M = 32541.446 Msun  cost = 4.380150832176618
  [120/1000] P =    23.91 yr, a = 99.984"  e = 0.999, M = 32136.064 Msun  cost = 3.960605716897942
  [121/1000] P =    24.11 yr, a = 99.995"  e = 0.999, M = 31614.934 Msun  cost = 3.5779731381441584
  [122/1000] P =    24.31 yr, a = 99.929"  e = 0.999, M = 31035.645 Msun  cost = 3.22892726053284
  [123/1000] P =    24.51 yr, a = 99.999"  e = 0.999, M = 30595.122 Msun  cost = 2.9104021580732162
  [124/1000] P =    24.71 yr, a = 99.877"  e = 0.999, M = 29991.574 Msun  cost = 2.619937187425835
  [125/1000] P =    24.91 yr, a = 99.962"  e = 0.999, M = 29586.780 Msun  cost = 2.3549340247254222
  [126/1000] P =    25.11 yr, a = 99.945"  e = 0.999, M = 29102.238 Msun  cost = 2.113396652745903
  [127/1000] P =    25.31 yr, a = 99.898"  e = 0.999, M = 28603.745 Msun  cost = 1.8933329588068248
  [128/1000] P =    25.51 yr, a = 99.995"  e = 0.999, M = 28238.628 Msun  cost = 1.6929019209185443
  [129/1000] P =    25.71 yr, a = 100.000"  e = 0.999, M = 27805.074 Msun  cost = 1.5105913122677759
  [130/1000] P =    25.91 yr, a = 99.991"  e = 0.999, M = 27370.460 Msun  cost = 1.3449017949641242
  [131/1000] P =    26.11 yr, a = 99.993"  e = 0.999, M = 26953.525 Msun  cost = 1.1944886405665658
  [132/1000] P =    26.31 yr, a = 99.990"  e = 0.999, M = 26543.320 Msun  cost = 1.0581350873629816
  [133/1000] P =    26.51 yr, a = 100.000"  e = 0.999, M = 26151.438 Msun  cost = 0.9347191615506133
  [134/1000] P =    26.71 yr, a = 100.000"  e = 0.999, M = 25761.432 Msun  cost = 0.823221595145002
  [135/1000] P =    26.91 yr, a = 99.999"  e = 0.999, M = 25379.323 Msun  cost = 0.7226982469451678
  [136/1000] P =    27.11 yr, a = 100.000"  e = 0.999, M = 25006.497 Msun  cost = 0.6322813336365083
  [137/1000] P =    27.31 yr, a = 99.999"  e = 0.999, M = 24640.631 Msun  cost = 0.5511708233734486
  [138/1000] P =    27.51 yr, a = 100.000"  e = 0.999, M = 24284.415 Msun  cost = 0.47862479180305906
  [139/1000] P =    27.71 yr, a = 100.000"  e = 0.999, M = 23934.999 Msun  cost = 0.4139555406385095
  [140/1000] P =    27.91 yr, a = 100.000"  e = 0.999, M = 23593.073 Msun  cost = 0.3565210408588355
  [141/1000] P =    28.11 yr, a = 100.000"  e = 0.999, M = 23258.434 Msun  cost = 0.30572025804804814
  [142/1000] P =    28.31 yr, a = 100.000"  e = 0.999, M = 22930.854 Msun  cost = 0.2609875189411088
  [143/1000] P =    28.51 yr, a = 100.000"  e = 0.999, M = 22610.146 Msun  cost = 0.2217875651887055
  [144/1000] P =    28.71 yr, a = 100.000"  e = 0.999, M = 22296.119 Msun  cost = 0.1876113088595992
  [145/1000] P =    28.91 yr, a = 100.000"  e = 0.999, M = 21988.590 Msun  cost = 0.1579725529435638
  [146/1000] P =    29.11 yr, a = 100.000"  e = 0.999, M = 21687.379 Msun  cost = 0.13240613126791284
  [147/1000] P =    29.31 yr, a = 100.000"  e = 0.999, M = 21392.316 Msun  cost = 0.11046785651909567
  [148/1000] P =    29.51 yr, a = 100.000"  e = 0.999, M = 21103.233 Msun  cost = 0.09173644112863803
  [149/1000] P =    29.71 yr, a = 100.000"  e = 0.999, M = 20819.971 Msun  cost = 0.07581707798115894
  [150/1000] P =    29.91 yr, a = 100.000"  e = 0.999, M = 20542.374 Msun  cost = 0.0623457958471729
  [151/1000] P =    30.12 yr, a = 100.000"  e = 0.999, M = 20270.292 Msun  cost = 0.050993368051075884
  [152/1000] P =    30.32 yr, a = 100.000"  e = 0.999, M = 20003.581 Msun  cost = 0.04146768205936605
  [153/1000] P =    30.52 yr, a = 100.000"  e = 0.999, M = 19742.098 Msun  cost = 0.03351402509200728
  [154/1000] P =    30.72 yr, a = 100.000"  e = 0.999, M = 19485.710 Msun  cost = 0.026913390595224043
  [155/1000] P =    30.92 yr, a = 100.000"  e = 0.999, M = 19234.283 Msun  cost = 0.021479352259777505
  [156/1000] P =    31.12 yr, a = 100.000"  e = 0.999, M = 18987.692 Msun  cost = 0.017054182015139006
  [157/1000] P =    31.32 yr, a = 100.000"  e = 0.999, M = 18745.813 Msun  cost = 0.013504788912013418
  [158/1000] P =    31.52 yr, a = 100.000"  e = 0.999, M = 18508.526 Msun  cost = 0.010718865403533766
  [159/1000] P =    31.72 yr, a = 100.000"  e = 0.999, M = 18275.716 Msun  cost = 0.008601445753766332
  [160/1000] P =    31.92 yr, a = 100.000"  e = 0.999, M = 18047.272 Msun  cost = 0.007071949373822259
  [161/1000] P =    32.12 yr, a = 100.000"  e = 0.999, M = 17823.084 Msun  cost = 0.006061702466373569
  [162/1000] P =    32.32 yr, a = 100.000"  e = 0.999, M = 17603.048 Msun  cost = 0.005511891641288795
  [163/1000] P =    32.52 yr, a = 46.472"  e = 0.994, M = 1745.024 Msun  cost = 0.005293897688454051
  [164/1000] P =    32.72 yr, a = 31.392"  e = 0.987, M = 531.299 Msun  cost = 0.005107202084772007
  [165/1000] P =    32.92 yr, a = 25.389"  e = 0.979, M = 277.668 Msun  cost = 0.004926636141293778
  [166/1000] P =    33.12 yr, a = 21.962"  e = 0.972, M = 177.570 Msun  cost = 0.004751989807026595
  [167/1000] P =    33.32 yr, a = 19.685"  e = 0.965, M = 126.324 Msun  cost = 0.004583061503753321
  [168/1000] P =    33.52 yr, a = 18.035"  e = 0.958, M = 96.000 Msun  cost = 0.004419657724512781
  [169/1000] P =    33.72 yr, a = 16.773"  e = 0.951, M = 76.311 Msun  cost = 0.004261592656817592
  [170/1000] P =    33.92 yr, a = 15.770"  e = 0.944, M = 62.668 Msun  cost = 0.004108687825628357
  [171/1000] P =    34.12 yr, a = 14.948"  e = 0.938, M = 52.753 Msun  cost = 0.0039607717543462435
  [172/1000] P =    34.32 yr, a = 14.261"  e = 0.931, M = 45.276 Msun  cost = 0.0038176796447509094
  [173/1000] P =    34.52 yr, a = 13.676"  e = 0.925, M = 39.470 Msun  cost = 0.003679253073262552
  [174/1000] P =    34.72 yr, a = 13.172"  e = 0.918, M = 34.854 Msun  cost = 0.00354533970343716
  [175/1000] P =    34.92 yr, a = 12.731"  e = 0.912, M = 31.110 Msun  cost = 0.003415793012035413
  [176/1000] P =    35.12 yr, a = 12.342"  e = 0.905, M = 28.024 Msun  cost = 0.0032904720320213474
  [177/1000] P =    35.32 yr, a = 11.996"  e = 0.899, M = 25.442 Msun  cost = 0.0031692411052619135
  [178/1000] P =    35.52 yr, a = 11.686"  e = 0.893, M = 23.257 Msun  cost = 0.003051969649938837
  [179/1000] P =    35.72 yr, a = 11.407"  e = 0.887, M = 21.387 Msun  cost = 0.002938531939377986
  [180/1000] P =    35.92 yr, a = 11.154"  e = 0.881, M = 19.772 Msun  cost = 0.0028288068912203346
  [181/1000] P =    36.12 yr, a = 10.923"  e = 0.875, M = 18.365 Msun  cost = 0.0027226778679315415
  [182/1000] P =    36.32 yr, a = 10.712"  e = 0.869, M = 17.130 Msun  cost = 0.0026200324864544687
  [183/1000] P =    36.52 yr, a = 10.518"  e = 0.863, M = 16.039 Msun  cost = 0.002520762437744195
  [184/1000] P =    36.72 yr, a = 10.339"  e = 0.857, M = 15.070 Msun  cost = 0.0024247633145844374
  [185/1000] P =    36.92 yr, a = 10.174"  e = 0.852, M = 14.204 Msun  cost = 0.0023319344483079944
