Grid mode: 250 periods in [0.1, 200] yr, 10 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.2, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: 2.17 MSol, Secondary Star (m2) Mass Guess: 1.0 MSol
  [1/250] P =     0.10 yr, a = 100.000"  e = 0.961, M = 1838341505.969 Msun  cost = 90.06867906558729
  [2/250] P =     0.90 yr, a = 15.873"  e = 0.999, M = 90204.492 Msun  cost = 98.998677696839
  [3/250] P =     1.71 yr, a = 4.601"  e = 0.999, M = 615.535 Msun  cost = 111.95753237306725
  [4/250] P =     2.51 yr, a = 4.559"  e = 0.999, M = 276.854 Msun  cost = 113.48754971012511
  [5/250] P =     3.31 yr, a = 4.483"  e = 0.999, M = 151.100 Msun  cost = 115.94900530592143
  [6/250] P =     4.11 yr, a = 15.506"  e = 0.999, M = 4049.548 Msun  cost = 107.76794264261038
  [7/250] P =     4.92 yr, a = 5.732"  e = 0.999, M = 143.208 Msun  cost = 117.12025908494671
  [8/250] P =     5.72 yr, a = 27.891"  e = 0.999, M = 12192.043 Msun  cost = 104.4103955261388
  [9/250] P =     6.52 yr, a = 6.679"  e = 0.999, M = 128.744 Msun  cost = 119.67233136856737
  [10/250] P =     7.33 yr, a = 4.580"  e = 0.999, M = 32.904 Msun  cost = 113.57617069590017
  [11/250] P =     8.13 yr, a = 6.070"  e = 0.999, M = 62.218 Msun  cost = 98.50328936797825
  [12/250] P =     8.93 yr, a = 15.373"  e = 0.999, M = 837.314 Msun  cost = 96.10390351243905
  [13/250] P =     9.73 yr, a = 24.599"  e = 0.999, M = 2888.163 Msun  cost = 101.75904591863103
  [14/250] P =    10.54 yr, a = 17.112"  e = 0.999, M = 829.695 Msun  cost = 110.96994981465187
  [15/250] P =    11.34 yr, a = 12.388"  e = 0.999, M = 271.774 Msun  cost = 121.77394645697318
  [16/250] P =    12.14 yr, a = 7.583"  e = 0.999, M = 54.372 Msun  cost = 120.65018536547893
  [17/250] P =    12.94 yr, a = 7.760"  e = 0.999, M = 51.261 Msun  cost = 108.69741500190518
  [18/250] P =    13.75 yr, a = 14.256"  e = 0.999, M = 281.823 Msun  cost = 98.45917222658026
  [19/250] P =    14.55 yr, a = 30.739"  e = 0.999, M = 2522.034 Msun  cost = 82.51671211810766
  [20/250] P =    15.35 yr, a = 56.649"  e = 0.999, M = 14176.964 Msun  cost = 66.20354152674855
  [21/250] P =    16.16 yr, a = 79.424"  e = 0.999, M = 35285.840 Msun  cost = 46.76731455266655
  [22/250] P =    16.96 yr, a = 93.847"  e = 0.999, M = 52830.847 Msun  cost = 25.24342344645252
  [23/250] P =    17.76 yr, a = 93.038"  e = 0.999, M = 46927.464 Msun  cost = 15.990671847524137
  [24/250] P =    18.56 yr, a = 94.204"  e = 0.999, M = 44592.654 Msun  cost = 10.533333817960731
  [25/250] P =    19.37 yr, a = 96.187"  e = 0.999, M = 43614.856 Msun  cost = 7.056758084322242
  [26/250] P =    20.17 yr, a = 98.591"  e = 0.999, M = 43302.969 Msun  cost = 4.756806053802596
  [27/250] P =    20.97 yr, a = 99.905"  e = 0.999, M = 41674.407 Msun  cost = 3.2016390075038594
  [28/250] P =    21.78 yr, a = 99.834"  e = 0.999, M = 38575.347 Msun  cost = 2.136726098934284
  [29/250] P =    22.58 yr, a = 99.838"  e = 0.999, M = 35885.503 Msun  cost = 1.4034532556158277
  [30/250] P =    23.38 yr, a = 99.929"  e = 0.999, M = 33555.056 Msun  cost = 0.8998053407794631
