Grid mode: 5000 periods in [0.1, 120] yr, 10 Iterations each, Mass Constrain = False
Total Mass Fractional Acceptance = 0.1, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: None MSol, Secondary Star (m2) Mass Guess: None MSol
  [55/5000] P =     1.40 yr, a = 30.883"  e = 0.999, M = 968811.235 Msun  cost = 10.52848074929818
  [56/5000] P =     1.42 yr, a = 34.651"  e = 0.999, M = 1322664.282 Msun  cost = 9.318384622455373
  [57/5000] P =     1.44 yr, a = 1.058"  e = 0.597, M = 36.395 Msun  cost = 12.638860837948652
  [58/5000] P =     1.47 yr, a = 28.196"  e = 0.999, M = 666783.742 Msun  cost = 10.40460971426522
  [59/5000] P =     1.49 yr, a = 27.071"  e = 0.998, M = 571274.555 Msun  cost = 9.936991496500529
  [60/5000] P =     1.52 yr, a = 35.135"  e = 0.999, M = 1209733.616 Msun  cost = 9.228004547522485
  [61/5000] P =     1.54 yr, a = 34.609"  e = 0.999, M = 1120458.675 Msun  cost = 9.698229551106014
  [62/5000] P =     1.56 yr, a = 28.107"  e = 0.999, M = 581895.497 Msun  cost = 11.380074066898821
  [63/5000] P =     1.59 yr, a = 30.714"  e = 0.999, M = 736496.420 Msun  cost = 10.307294234607303
  [64/5000] P =     1.61 yr, a = 11.255"  e = 0.996, M = 35171.759 Msun  cost = 13.008084519604745
  [65/5000] P =     1.64 yr, a = 6.822"  e = 0.982, M = 7603.400 Msun  cost = 11.374683639669232
  [66/5000] P =     1.66 yr, a = 10.041"  e = 0.995, M = 23552.750 Msun  cost = 12.634510655839374
  [67/5000] P =     1.68 yr, a = 29.559"  e = 0.999, M = 583801.424 Msun  cost = 11.692306514048706
  [68/5000] P =     1.71 yr, a = 3.131"  e = 0.837, M = 674.259 Msun  cost = 9.882017375799055
  [69/5000] P =     1.73 yr, a = 4.906"  e = 0.913, M = 2523.136 Msun  cost = 8.170997142129231
  [70/5000] P =     1.75 yr, a = 2.090"  e = 0.392, M = 189.794 Msun  cost = 11.124815808374553
  [71/5000] P =     1.78 yr, a = 19.131"  e = 0.998, M = 141648.675 Msun  cost = 12.770403080559614
  [72/5000] P =     1.80 yr, a = 12.073"  e = 0.996, M = 34659.823 Msun  cost = 12.905816628217089
  [73/5000] P =     1.83 yr, a = 29.816"  e = 0.999, M = 508478.930 Msun  cost = 11.667638619544752
  [74/5000] P =     1.85 yr, a = 9.970"  e = 0.988, M = 18522.401 Msun  cost = 10.972177701270693
  [75/5000] P =     1.87 yr, a = 16.375"  e = 0.997, M = 79976.822 Msun  cost = 11.550681087500505
  [76/5000] P =     1.90 yr, a = 5.198"  e = 0.978, M = 2493.746 Msun  cost = 12.47448339437698
  [77/5000] P =     1.92 yr, a = 26.048"  e = 0.999, M = 306062.375 Msun  cost = 13.059336554704348
  [78/5000] P =     1.95 yr, a = 31.364"  e = 0.999, M = 521169.756 Msun  cost = 12.008072277318588
  [79/5000] P =     1.97 yr, a = 38.311"  e = 0.999, M = 926870.731 Msun  cost = 10.92113548166841
  [80/5000] P =     1.99 yr, a = 13.752"  e = 0.971, M = 41842.547 Msun  cost = 9.685922651940041
  [81/5000] P =     2.02 yr, a = 43.934"  e = 0.999, M = 1332186.616 Msun  cost = 10.41626034693454
  [82/5000] P =     2.04 yr, a = 34.421"  e = 0.999, M = 625700.747 Msun  cost = 11.46015984429368
  [83/5000] P =     2.07 yr, a = 29.255"  e = 0.999, M = 375293.040 Msun  cost = 12.427739073416259
  [84/5000] P =     2.09 yr, a = 5.165"  e = 0.984, M = 2017.670 Msun  cost = 13.206587729373373
  [85/5000] P =     2.11 yr, a = 16.186"  e = 0.998, M = 60709.307 Msun  cost = 12.373620003135569
  [86/5000] P =     2.14 yr, a = 14.046"  e = 0.996, M = 38786.749 Msun  cost = 11.651981865717564
  [87/5000] P =     2.16 yr, a = 4.805"  e = 0.969, M = 1518.872 Msun  cost = 12.400495976287528
  [88/5000] P =     2.19 yr, a = 33.442"  e = 0.999, M = 500773.079 Msun  cost = 10.995898080779652
  [89/5000] P =     2.21 yr, a = 28.792"  e = 0.999, M = 312699.557 Msun  cost = 11.71276793331413
  [90/5000] P =     2.23 yr, a = 13.570"  e = 0.996, M = 32037.039 Msun  cost = 12.541024215629452
  [91/5000] P =     2.26 yr, a = 9.960"  e = 0.995, M = 12399.865 Msun  cost = 13.33069750051973
  [92/5000] P =     2.28 yr, a = 16.512"  e = 0.998, M = 55317.925 Msun  cost = 12.924448012703442
  [93/5000] P =     2.31 yr, a = 5.348"  e = 0.969, M = 1840.299 Msun  cost = 11.402967250165798
  [94/5000] P =     2.33 yr, a = 2.269"  e = 0.466, M = 137.664 Msun  cost = 10.685303091036051
  [95/5000] P =     2.35 yr, a = 9.624"  e = 0.976, M = 10294.039 Msun  cost = 7.76034018219843
  [96/5000] P =     2.38 yr, a = 4.002"  e = 0.874, M = 725.192 Msun  cost = 8.524103528063636
  [97/5000] P =     2.40 yr, a = 3.213"  e = 0.830, M = 367.897 Msun  cost = 9.412197903826263
  [98/5000] P =     2.43 yr, a = 3.453"  e = 0.881, M = 447.532 Msun  cost = 10.36277361288488
  [99/5000] P =     2.45 yr, a = 34.215"  e = 0.999, M = 427051.849 Msun  cost = 11.283073063432377
  [100/5000] P =     2.47 yr, a = 30.972"  e = 0.999, M = 310648.819 Msun  cost = 11.433642090546144
  [101/5000] P =     2.50 yr, a = 4.822"  e = 0.978, M = 1149.664 Msun  cost = 12.656850821807224
  [102/5000] P =     2.52 yr, a = 2.484"  e = 0.927, M = 154.215 Msun  cost = 13.007368916462482
  [103/5000] P =     2.55 yr, a = 12.034"  e = 0.995, M = 17206.164 Msun  cost = 11.895760702243631
  [104/5000] P =     2.57 yr, a = 12.119"  e = 0.994, M = 17249.711 Msun  cost = 11.392179325976777
  [105/5000] P =     2.59 yr, a = 3.560"  e = 0.942, M = 429.219 Msun  cost = 12.243915729709618
  [106/5000] P =     2.62 yr, a = 2.047"  e = 0.927, M = 80.133 Msun  cost = 13.044748810823284
  [107/5000] P =     2.64 yr, a = 13.147"  e = 0.996, M = 20836.355 Msun  cost = 12.830789678280379
  [108/5000] P =     2.67 yr, a = 28.780"  e = 0.999, M = 214671.034 Msun  cost = 12.087410799073957
  [109/5000] P =     2.69 yr, a = 31.340"  e = 0.999, M = 272299.215 Msun  cost = 10.251166402278718
  [110/5000] P =     2.71 yr, a = 30.236"  e = 0.999, M = 240204.435 Msun  cost = 10.419329721426596
  [111/5000] P =     2.74 yr, a = 29.333"  e = 0.999, M = 215495.311 Msun  cost = 10.754154628879954
  [112/5000] P =     2.76 yr, a = 28.541"  e = 0.999, M = 195088.532 Msun  cost = 11.145374797992735
  [113/5000] P =     2.79 yr, a = 27.776"  e = 0.999, M = 176720.973 Msun  cost = 11.560549093498153
  [114/5000] P =     2.81 yr, a = 3.087"  e = 0.897, M = 238.420 Msun  cost = 10.678931352167528
  [115/5000] P =     2.83 yr, a = 34.706"  e = 0.999, M = 333185.531 Msun  cost = 9.566373659975628
  [116/5000] P =     2.86 yr, a = 34.569"  e = 0.999, M = 323745.550 Msun  cost = 9.729595003766827
  [117/5000] P =     2.88 yr, a = 4.119"  e = 0.929, M = 538.691 Msun  cost = 10.00298130518219
  [118/5000] P =     2.91 yr, a = 34.332"  e = 0.999, M = 306759.008 Msun  cost = 9.663752203003106
  [119/5000] P =     2.93 yr, a = 30.510"  e = 0.999, M = 211769.768 Msun  cost = 9.340226604362012
  [120/5000] P =     2.95 yr, a = 34.006"  e = 0.999, M = 288504.950 Msun  cost = 9.14616149786806
  [121/5000] P =     2.98 yr, a = 4.777"  e = 0.944, M = 786.742 Msun  cost = 9.674795696321098
  [122/5000] P =     3.00 yr, a = 1.413"  e = 0.343, M = 20.055 Msun  cost = 11.47136506709695
  [123/5000] P =     3.03 yr, a = 7.634"  e = 0.981, M = 3110.652 Msun  cost = 10.063066720470196
  [124/5000] P =     3.05 yr, a = 33.487"  e = 0.999, M = 258440.709 Msun  cost = 10.047246797117255
  [125/5000] P =     3.07 yr, a = 1.573"  e = 0.528, M = 26.351 Msun  cost = 10.840705091922596
  [126/5000] P =     3.10 yr, a = 2.391"  e = 0.846, M = 91.230 Msun  cost = 10.730736348583177
  [127/5000] P =     3.12 yr, a = 28.751"  e = 0.999, M = 156111.553 Msun  cost = 10.524749968914861
  [128/5000] P =     3.15 yr, a = 21.289"  e = 0.998, M = 62412.977 Msun  cost = 10.380821286156893
  [129/5000] P =     3.17 yr, a = 24.291"  e = 0.999, M = 91320.172 Msun  cost = 10.375933502899501
  [130/5000] P =     3.19 yr, a = 6.136"  e = 0.982, M = 1449.679 Msun  cost = 11.209841846158568
  [131/5000] P =     3.22 yr, a = 13.587"  e = 0.997, M = 15506.842 Msun  cost = 12.045477279239568
  [132/5000] P =     3.24 yr, a = 6.449"  e = 0.989, M = 1633.803 Msun  cost = 12.279469735587204
  [133/5000] P =     3.27 yr, a = 5.016"  e = 0.970, M = 757.719 Msun  cost = 11.549344510557148
  [134/5000] P =     3.29 yr, a = 14.449"  e = 0.996, M = 17842.931 Msun  cost = 11.21681970886948
  [135/5000] P =     3.31 yr, a = 10.949"  e = 0.994, M = 7652.909 Msun  cost = 11.353383035471435
  [136/5000] P =     3.34 yr, a = 7.817"  e = 0.983, M = 2744.835 Msun  cost = 9.803671466728945
  [137/5000] P =     3.36 yr, a = 27.116"  e = 0.998, M = 112946.283 Msun  cost = 9.12670433285239
  [138/5000] P =     3.39 yr, a = 34.644"  e = 0.999, M = 232221.731 Msun  cost = 9.320786537753836
  [139/5000] P =     3.41 yr, a = 33.950"  e = 0.999, M = 215461.530 Msun  cost = 9.624204841012679
  [140/5000] P =     3.43 yr, a = 33.262"  e = 0.999, M = 199820.559 Msun  cost = 9.970693976245963
  [141/5000] P =     3.46 yr, a = 32.481"  e = 0.999, M = 183502.639 Msun  cost = 10.339491133979461
  [142/5000] P =     3.48 yr, a = 31.518"  e = 0.999, M = 165346.258 Msun  cost = 10.720498716866896
  [143/5000] P =     3.51 yr, a = 8.638"  e = 0.988, M = 3357.766 Msun  cost = 10.746798774528937
  [144/5000] P =     3.53 yr, a = 30.891"  e = 0.999, M = 151474.070 Msun  cost = 10.523702878811442
  [145/5000] P =     3.55 yr, a = 30.457"  e = 0.999, M = 143221.097 Msun  cost = 10.763968996952796
  [146/5000] P =     3.58 yr, a = 29.878"  e = 0.999, M = 133401.567 Msun  cost = 11.077229513827731
  [147/5000] P =     3.60 yr, a = 1.501"  e = 0.451, M = 16.690 Msun  cost = 10.96466068145862
  [148/5000] P =     3.63 yr, a = 1.507"  e = 0.467, M = 16.666 Msun  cost = 10.81152962411466
  [149/5000] P =     3.65 yr, a = 1.506"  e = 0.476, M = 16.419 Msun  cost = 10.752828237521204
  [150/5000] P =     3.67 yr, a = 14.909"  e = 0.996, M = 15721.570 Msun  cost = 10.708454947235035
  [151/5000] P =     3.70 yr, a = 18.615"  e = 0.997, M = 30206.370 Msun  cost = 9.793653424477723
  [152/5000] P =     3.72 yr, a = 24.606"  e = 0.998, M = 68864.381 Msun  cost = 9.879737977226476
  [153/5000] P =     3.75 yr, a = 27.046"  e = 0.999, M = 90282.942 Msun  cost = 10.093344010852269
  [154/5000] P =     3.77 yr, a = 32.004"  e = 0.999, M = 147691.239 Msun  cost = 10.359985349492195
  [155/5000] P =     3.79 yr, a = 31.533"  e = 0.999, M = 139480.864 Msun  cost = 10.655068543575805
  [156/5000] P =     3.82 yr, a = 30.983"  e = 0.999, M = 130652.122 Msun  cost = 10.966875093810936
  [157/5000] P =     3.84 yr, a = 22.755"  e = 0.998, M = 51117.165 Msun  cost = 10.772321218838654
  [158/5000] P =     3.87 yr, a = 35.876"  e = 0.999, M = 197848.150 Msun  cost = 10.427931952276229
  [159/5000] P =     3.89 yr, a = 37.117"  e = 0.999, M = 216394.614 Msun  cost = 10.098644031536104
  [160/5000] P =     3.91 yr, a = 38.507"  e = 0.999, M = 238692.746 Msun  cost = 9.792642855275677
  [161/5000] P =     3.94 yr, a = 40.147"  e = 0.999, M = 267216.409 Msun  cost = 9.528472896640968
  [162/5000] P =     3.96 yr, a = 42.187"  e = 0.999, M = 306316.653 Msun  cost = 9.360262364036194
  [163/5000] P =     3.99 yr, a = 44.639"  e = 0.999, M = 358520.313 Msun  cost = 9.548103383260546
  [164/5000] P =     4.01 yr, a = 1.277"  e = 0.328, M = 8.290 Msun  cost = 12.605395649886233
  [165/5000] P =     4.03 yr, a = 33.765"  e = 0.999, M = 151490.716 Msun  cost = 10.495688944224039
  [166/5000] P =     4.06 yr, a = 32.486"  e = 0.999, M = 133330.118 Msun  cost = 10.518132950695861
  [167/5000] P =     4.08 yr, a = 31.311"  e = 0.999, M = 117980.524 Msun  cost = 10.660843442838843
  [168/5000] P =     4.11 yr, a = 30.253"  e = 0.999, M = 105177.412 Msun  cost = 10.853483091750615
  [169/5000] P =     4.13 yr, a = 29.284"  e = 0.999, M = 94292.760 Msun  cost = 11.070369233931933
  [170/5000] P =     4.15 yr, a = 21.461"  e = 0.998, M = 36686.980 Msun  cost = 11.300506723780899
  [171/5000] P =     4.18 yr, a = 31.558"  e = 0.999, M = 115311.389 Msun  cost = 11.311238881296307
  [172/5000] P =     4.20 yr, a = 32.465"  e = 0.999, M = 124108.594 Msun  cost = 11.063320670210436
