Grid mode: 1000 periods in [0.1, 120] yr, 10 Iterations each, Mass Constrain = False
Total Mass Fractional Acceptance = 0.1, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: None MSol, Secondary Star (m2) Mass Guess: None MSol
  [56/1000] P =     6.70 yr, a = 69.358"  e = 0.999, M = 136589.247 Msun  cost = 81.51631056003006
  [57/1000] P =     6.82 yr, a = 69.690"  e = 0.999, M = 133727.376 Msun  cost = 71.12985973524704
  [58/1000] P =     6.94 yr, a = 53.261"  e = 0.999, M = 57650.087 Msun  cost = 61.47820866355795
  [59/1000] P =     7.06 yr, a = 31.489"  e = 0.999, M = 11511.487 Msun  cost = 51.92483361360032
  [60/1000] P =     7.18 yr, a = 30.889"  e = 0.999, M = 10505.948 Msun  cost = 43.495138435846194
  [61/1000] P =     7.30 yr, a = 41.983"  e = 0.999, M = 25519.201 Msun  cost = 39.93557028332507
  [62/1000] P =     7.42 yr, a = 54.049"  e = 0.999, M = 52704.631 Msun  cost = 39.426599289622615
  [63/1000] P =     7.54 yr, a = 19.168"  e = 0.984, M = 2276.548 Msun  cost = 45.50331328647287
  [64/1000] P =     7.66 yr, a = 47.451"  e = 0.999, M = 33461.828 Msun  cost = 75.26984356416084
  [65/1000] P =     7.78 yr, a = 17.632"  e = 0.999, M = 1664.197 Msun  cost = 90.046020413398
  [66/1000] P =     7.90 yr, a = 18.517"  e = 0.991, M = 1869.462 Msun  cost = 94.97987345768428
  [67/1000] P =     8.02 yr, a = 5.925"  e = 0.996, M = 59.433 Msun  cost = 111.69539561825127
  [68/1000] P =     8.14 yr, a = 28.888"  e = 0.999, M = 6686.185 Msun  cost = 100.72753032957834
  [69/1000] P =     8.26 yr, a = 6.311"  e = 0.993, M = 67.720 Msun  cost = 103.67718556091693
  [70/1000] P =     8.38 yr, a = 12.972"  e = 0.999, M = 571.252 Msun  cost = 91.96583272912123
  [71/1000] P =     8.50 yr, a = 6.118"  e = 0.999, M = 58.240 Msun  cost = 79.5542623606524
  [72/1000] P =     8.62 yr, a = 27.073"  e = 0.999, M = 4907.453 Msun  cost = 110.30283549042824
  [73/1000] P =     8.74 yr, a = 17.268"  e = 0.997, M = 1238.803 Msun  cost = 77.63366844938754
  [74/1000] P =     8.86 yr, a = 12.900"  e = 0.999, M = 502.575 Msun  cost = 90.08240603420124
  [75/1000] P =     8.98 yr, a = 27.483"  e = 0.999, M = 4730.449 Msun  cost = 94.81871370131479
  [76/1000] P =     9.10 yr, a = 27.288"  e = 0.999, M = 4509.580 Msun  cost = 89.58726919381175
  [77/1000] P =     9.22 yr, a = 24.532"  e = 0.999, M = 3191.876 Msun  cost = 84.38058033982337
  [78/1000] P =     9.34 yr, a = 13.272"  e = 0.999, M = 492.486 Msun  cost = 79.10004114296515
  [79/1000] P =     9.46 yr, a = 39.733"  e = 0.999, M = 12880.758 Msun  cost = 72.41839690880285
  [80/1000] P =     9.58 yr, a = 27.855"  e = 0.987, M = 4327.672 Msun  cost = 48.57128526178931
  [81/1000] P =     9.70 yr, a = 27.725"  e = 0.989, M = 4162.516 Msun  cost = 38.95802539888403
  [82/1000] P =     9.82 yr, a = 17.269"  e = 0.978, M = 981.483 Msun  cost = 36.326707815393824
  [83/1000] P =     9.94 yr, a = 32.432"  e = 0.995, M = 6345.000 Msun  cost = 34.21038025960672
  [84/1000] P =    10.06 yr, a = 23.178"  e = 0.994, M = 2261.001 Msun  cost = 34.1363450687383
  [85/1000] P =    10.18 yr, a = 21.276"  e = 0.995, M = 1707.914 Msun  cost = 34.53233360824018
  [86/1000] P =    10.30 yr, a = 8.730"  e = 0.979, M = 115.247 Msun  cost = 35.53809002954483
  [87/1000] P =    10.42 yr, a = 8.344"  e = 0.989, M = 98.315 Msun  cost = 36.300324800635494
  [88/1000] P =    10.54 yr, a = 5.997"  e = 0.975, M = 35.676 Msun  cost = 37.50022115187375
  [89/1000] P =    10.66 yr, a = 6.235"  e = 0.984, M = 39.200 Msun  cost = 38.546138935571946
  [90/1000] P =    10.78 yr, a = 13.917"  e = 0.997, M = 426.262 Msun  cost = 40.03027311399956
  [91/1000] P =    10.90 yr, a = 11.930"  e = 0.995, M = 262.652 Msun  cost = 41.73651459747953
  [92/1000] P =    11.02 yr, a = 10.297"  e = 0.972, M = 165.225 Msun  cost = 43.5978461155941
  [93/1000] P =    11.14 yr, a = 13.177"  e = 0.974, M = 338.787 Msun  cost = 46.41076167769042
  [94/1000] P =    11.26 yr, a = 22.449"  e = 0.989, M = 1639.906 Msun  cost = 50.10379912405366
  [95/1000] P =    11.38 yr, a = 26.450"  e = 0.990, M = 2626.002 Msun  cost = 58.75625050893687
  [96/1000] P =    11.50 yr, a = 26.418"  e = 0.999, M = 2562.154 Msun  cost = 74.61989841014586
  [97/1000] P =    11.62 yr, a = 25.249"  e = 0.999, M = 2190.785 Msun  cost = 80.03921436909283
  [98/1000] P =    11.74 yr, a = 39.886"  e = 0.999, M = 8460.633 Msun  cost = 84.39854073082633
  [99/1000] P =    11.86 yr, a = 45.101"  e = 0.999, M = 11985.922 Msun  cost = 88.43948183055909
  [100/1000] P =    11.98 yr, a = 46.634"  e = 0.999, M = 12986.151 Msun  cost = 92.26370667065045
  [101/1000] P =    12.10 yr, a = 46.352"  e = 0.999, M = 12500.604 Msun  cost = 95.88566280814715
  [102/1000] P =    12.22 yr, a = 44.995"  e = 0.999, M = 11210.618 Msun  cost = 99.30092943146853
  [103/1000] P =    12.34 yr, a = 42.992"  e = 0.999, M = 9589.827 Msun  cost = 102.5003487820192
  [104/1000] P =    12.46 yr, a = 40.541"  e = 0.999, M = 7887.599 Msun  cost = 105.4745149599653
  [105/1000] P =    12.58 yr, a = 6.841"  e = 0.999, M = 37.184 Msun  cost = 101.99241408563434
  [106/1000] P =    12.70 yr, a = 6.896"  e = 0.999, M = 37.369 Msun  cost = 97.85942984964092
  [107/1000] P =    12.82 yr, a = 29.083"  e = 0.999, M = 2750.606 Msun  cost = 106.9860777174727
  [108/1000] P =    12.94 yr, a = 33.501"  e = 0.999, M = 4126.462 Msun  cost = 86.90907326758946
  [109/1000] P =    13.06 yr, a = 7.025"  e = 0.996, M = 37.349 Msun  cost = 92.17945055364541
  [110/1000] P =    13.18 yr, a = 37.232"  e = 0.999, M = 5460.241 Msun  cost = 89.96256419524661
  [111/1000] P =    13.30 yr, a = 61.478"  e = 0.999, M = 24140.190 Msun  cost = 110.51383496468398
  [112/1000] P =    13.42 yr, a = 24.618"  e = 0.999, M = 1522.422 Msun  cost = 84.97895783169227
  [113/1000] P =    13.54 yr, a = 22.156"  e = 0.999, M = 1090.213 Msun  cost = 80.9863672511199
  [114/1000] P =    13.66 yr, a = 6.349"  e = 0.999, M = 25.211 Msun  cost = 77.65091595114843
  [115/1000] P =    13.78 yr, a = 15.188"  e = 0.999, M = 339.060 Msun  cost = 73.3301539067711
  [116/1000] P =    13.90 yr, a = 10.786"  e = 0.999, M = 119.357 Msun  cost = 69.62093499291349
  [117/1000] P =    14.02 yr, a = 6.460"  e = 0.999, M = 25.208 Msun  cost = 65.93915362279566
  [118/1000] P =    14.14 yr, a = 14.834"  e = 0.999, M = 300.043 Msun  cost = 62.15554060965512
  [119/1000] P =    14.26 yr, a = 18.376"  e = 0.997, M = 560.780 Msun  cost = 56.24228262399208
  [120/1000] P =    14.38 yr, a = 12.883"  e = 0.997, M = 190.038 Msun  cost = 54.16058622603965
  [121/1000] P =    14.50 yr, a = 7.038"  e = 0.994, M = 30.475 Msun  cost = 51.70837829700867
  [122/1000] P =    14.62 yr, a = 6.568"  e = 0.998, M = 24.364 Msun  cost = 49.92291529981064
  [123/1000] P =    14.74 yr, a = 6.568"  e = 0.998, M = 23.962 Msun  cost = 48.57565865296387
  [124/1000] P =    14.86 yr, a = 6.574"  e = 0.981, M = 23.649 Msun  cost = 48.98023956479475
  [125/1000] P =    14.98 yr, a = 8.304"  e = 0.992, M = 46.887 Msun  cost = 48.90069558922799
  [126/1000] P =    15.10 yr, a = 6.766"  e = 0.999, M = 24.968 Msun  cost = 49.19947844654389
  [127/1000] P =    15.22 yr, a = 7.507"  e = 0.980, M = 33.562 Msun  cost = 49.64028932031446
  [128/1000] P =    15.34 yr, a = 6.293"  e = 0.999, M = 19.467 Msun  cost = 52.36389979666234
  [129/1000] P =    15.46 yr, a = 8.167"  e = 0.986, M = 41.888 Msun  cost = 52.15308729665563
  [130/1000] P =    15.58 yr, a = 9.667"  e = 0.984, M = 68.398 Msun  cost = 53.82405396389689
  [131/1000] P =    15.70 yr, a = 20.195"  e = 0.996, M = 614.085 Msun  cost = 55.61767514661322
  [132/1000] P =    15.82 yr, a = 6.021"  e = 0.987, M = 16.024 Msun  cost = 75.32892241364996
  [133/1000] P =    15.94 yr, a = 20.089"  e = 0.999, M = 586.346 Msun  cost = 65.38847767079413
  [134/1000] P =    16.06 yr, a = 55.832"  e = 0.999, M = 12400.479 Msun  cost = 64.47709535518608
  [135/1000] P =    16.18 yr, a = 54.006"  e = 0.999, M = 11057.497 Msun  cost = 63.27490330065837
  [136/1000] P =    16.30 yr, a = 52.247"  e = 0.999, M = 9865.110 Msun  cost = 62.15420725812048
  [137/1000] P =    16.42 yr, a = 6.062"  e = 0.999, M = 15.184 Msun  cost = 75.78932950298365
  [138/1000] P =    16.54 yr, a = 49.618"  e = 0.999, M = 8206.039 Msun  cost = 60.24720278504527
  [139/1000] P =    16.66 yr, a = 49.381"  e = 0.999, M = 7972.657 Msun  cost = 59.54416092642029
  [140/1000] P =    16.78 yr, a = 6.764"  e = 0.991, M = 20.201 Msun  cost = 65.85821428292263
  [141/1000] P =    16.90 yr, a = 6.094"  e = 0.993, M = 14.559 Msun  cost = 66.79162939774551
  [142/1000] P =    17.02 yr, a = 9.549"  e = 0.993, M = 55.241 Msun  cost = 67.3066416296765
  [143/1000] P =    17.14 yr, a = 10.222"  e = 0.978, M = 66.805 Msun  cost = 66.31220293744096
  [144/1000] P =    17.26 yr, a = 16.514"  e = 0.988, M = 277.812 Msun  cost = 62.350043425591956
  [145/1000] P =    17.38 yr, a = 10.076"  e = 0.973, M = 62.232 Msun  cost = 68.0461841945714
  [146/1000] P =    17.50 yr, a = 13.399"  e = 0.981, M = 144.357 Msun  cost = 68.03182764403236
  [147/1000] P =    17.62 yr, a = 64.317"  e = 0.999, M = 15748.657 Msun  cost = 92.13643814868676
  [148/1000] P =    17.74 yr, a = 21.674"  e = 0.991, M = 594.561 Msun  cost = 73.41404749406105
  [149/1000] P =    17.86 yr, a = 63.003"  e = 0.999, M = 14407.886 Msun  cost = 77.65283401109612
  [150/1000] P =    17.98 yr, a = 30.842"  e = 0.999, M = 1667.768 Msun  cost = 86.45697663783773
  [151/1000] P =    18.10 yr, a = 62.691"  e = 0.999, M = 13820.809 Msun  cost = 86.6847681985153
  [152/1000] P =    18.22 yr, a = 5.939"  e = 0.997, M = 11.594 Msun  cost = 92.2276955536121
  [153/1000] P =    18.34 yr, a = 61.406"  e = 0.999, M = 12651.015 Msun  cost = 83.98022138312045
  [154/1000] P =    18.46 yr, a = 60.639"  e = 0.999, M = 12024.651 Msun  cost = 82.63369633865602
  [155/1000] P =    18.58 yr, a = 59.809"  e = 0.999, M = 11389.156 Msun  cost = 81.29080851401193
  [156/1000] P =    18.70 yr, a = 58.889"  e = 0.999, M = 10732.320 Msun  cost = 79.95123703048709
  [157/1000] P =    18.82 yr, a = 57.889"  e = 0.999, M = 10065.262 Msun  cost = 78.61450041492887
  [158/1000] P =    18.94 yr, a = 56.821"  e = 0.999, M = 9398.278 Msun  cost = 77.2799415369435
  [159/1000] P =    19.06 yr, a = 55.689"  e = 0.999, M = 8736.414 Msun  cost = 75.94673897463697
